id;topic;severity;category;audit_type;control_type;info;solution;reference;see_also;cmd;expect;scope
201;~/.ssh permissoes 700/600;Alta;Credenciais e home;CMD_EXEC;CMD_EXEC;Chaves SSH de usuarios nao devem ser lidas por outros usuarios.;Executar vdi-fix-user-home-perms e corrigir ~/.ssh para dir 700 e arquivos 600.;Baseline Ubuntu 24.04 VDI - Segredos, credenciais e home.;https://man.openbsd.org/sshd_config;"sh -c 'find /home -mindepth 2 -maxdepth 2 -type d -name .ssh ! -perm 0700 -print -quit 2>/dev/null | grep -q . && echo FAIL && exit 0; find /home -path \""*/.ssh/*\"" -type f ! -perm 0600 -print -quit 2>/dev/null | grep -q . && echo FAIL || echo PASS'";(?i)^\\s*PASS\\s*$;Ubuntu 24.04 VDI Desktop desenvolvimento corporativo
202;~/.aws permissoes 700/600;Alta;Credenciais e home;CMD_EXEC;CMD_EXEC;Credenciais/configuracoes AWS devem ficar isoladas por usuario.;Corrigir ~/.aws para dir 700 e arquivos 600.;Baseline Ubuntu 24.04 VDI - Segredos, credenciais e home.;;"sh -c 'find /home -mindepth 2 -maxdepth 2 -type d -name .aws ! -perm 0700 -print -quit 2>/dev/null | grep -q . && echo FAIL && exit 0; find /home -path \""*/.aws/*\"" -type f ! -perm 0600 -print -quit 2>/dev/null | grep -q . && echo FAIL || echo PASS'";(?i)^\\s*PASS\\s*$;Ubuntu 24.04 VDI Desktop desenvolvimento corporativo
203;Audit ~/.ssh/authorized_keys changes;Alta;Credenciais e home;CMD_EXEC;CMD_EXEC;Alteracoes em authorized_keys devem ser auditadas.;Gerar regras auditd por home para .ssh/authorized_keys ou diretorio .ssh.;Baseline Ubuntu 24.04 VDI - Segredos, credenciais e home.;https://man.openbsd.org/sshd_config;"sh -c 'grep -RE -- \""-w[[:space:]]+/home/.*/\\.ssh([[:space:]]|/authorized_keys).*-[p][[:space:]]*wa|ssh_keys\"" /etc/audit/rules.d 2>/dev/null | grep -q . && echo PASS || echo FAIL'";(?i)^\\s*PASS\\s*$;Ubuntu 24.04 VDI Desktop desenvolvimento corporativo
204;Audit ~/.aws/credentials changes;Media;Credenciais e home;CMD_EXEC;CMD_EXEC;Alteracoes em credenciais AWS devem ser auditadas.;Gerar regras auditd por home para .aws/credentials ou diretorio .aws.;Baseline Ubuntu 24.04 VDI - Segredos, credenciais e home.;https://man7.org/linux/man-pages/man8/auditd.8.html;"sh -c 'grep -RE -- \""-w[[:space:]]+/home/.*/\\.aws([[:space:]]|/credentials).*-[p][[:space:]]*wa|aws_creds\"" /etc/audit/rules.d 2>/dev/null | grep -q . && echo PASS || echo FAIL'";(?i)^\\s*PASS\\s*$;Ubuntu 24.04 VDI Desktop desenvolvimento corporativo
205;~/.git-credentials protegido;Media;Credenciais e home;CMD_EXEC;CMD_EXEC;"Tokens Git em texto claro devem ser evitados; se existirem, permissao maxima 600.";"Preferir credential helper/SSO; remover tokens persistentes ou aplicar chmod 600.";Baseline Ubuntu 24.04 VDI - Segredos, credenciais e home.;;sh -c 'find /home -maxdepth 2 -type f -name .git-credentials ! -perm 0600 -print -quit 2>/dev/null | grep -q . && echo FAIL || echo PASS';(?i)^\\s*PASS\\s*$;Ubuntu 24.04 VDI Desktop desenvolvimento corporativo
206;~/.netrc nao existir ou 600;Media;Credenciais e home;CMD_EXEC;CMD_EXEC;.netrc deve estar ausente ou restrito.;Remover .netrc ou aplicar chmod 600 e ownership correto.;Baseline Ubuntu 24.04 VDI - Segredos, credenciais e home.;;sh -c 'find /home -maxdepth 2 -type f -name .netrc ! -perm 0600 -print -quit 2>/dev/null | grep -q . && echo FAIL || echo PASS';(?i)^\\s*PASS\\s*$;Ubuntu 24.04 VDI Desktop desenvolvimento corporativo
207;Audit ~/.bashrc/.bash_profile changes;Media;Credenciais e home;CMD_EXEC;CMD_EXEC;Inicializadores bash devem ser monitorados contra hijack de PATH/alias.;Gerar regras auditd por home para .bashrc, .bash_profile e .profile.;Baseline Ubuntu 24.04 VDI - Segredos, credenciais e home.;https://man7.org/linux/man-pages/man8/auditd.8.html;"sh -c 'grep -RE -- \""-w[[:space:]]+/home/.*/\\.(bashrc|bash_profile|profile).*-[p][[:space:]]*wa|shell_init\"" /etc/audit/rules.d 2>/dev/null | grep -q . && echo PASS || echo FAIL'";(?i)^\\s*PASS\\s*$;Ubuntu 24.04 VDI Desktop desenvolvimento corporativo
208;Audit .zshrc/.zsh_profile changes;Media;Credenciais e home;CMD_EXEC;CMD_EXEC;Inicializadores zsh devem ser monitorados quando zsh estiver disponivel.;Gerar regras auditd por home para .zshrc/.zsh_profile ou registrar excecao aprovada.;Baseline Ubuntu 24.04 VDI - Segredos, credenciais e home.;https://man7.org/linux/man-pages/man8/auditd.8.html;"sh -c 'if command -v zsh >/dev/null 2>&1; then grep -RE -- \""-w[[:space:]]+/home/.*/\\.(zshrc|zsh_profile).*-[p][[:space:]]*wa|shell_init\"" /etc/audit/rules.d 2>/dev/null | grep -q . && echo PASS || echo FAIL; else echo PASS; fi'";(?i)^\\s*PASS\\s*$;Ubuntu 24.04 VDI Desktop desenvolvimento corporativo
301;Docker sem --privileged;Alta;Docker e containers;CMD_EXEC;CMD_EXEC;Containers privilegiados nao devem ser permitidos por padrao.;"Usar Docker rootless; manter docker.service/socket rootful desabilitados e grupo docker vazio.";Baseline Ubuntu 24.04 VDI - Docker rootless.;https://docs.docker.com/engine/security/rootless/;"sh -c '! systemctl is-enabled docker.service docker.socket 2>/dev/null | grep -q enabled && ( ! getent group docker >/dev/null || [ -z \""$(getent group docker | cut -d: -f4)\"" ] ) && echo PASS || echo FAIL'";(?i)^\\s*PASS\\s*$;Ubuntu 24.04 VDI Desktop desenvolvimento corporativo
302;Docker sem shared PID namespace;Alta;Docker e containers;CMD_EXEC;CMD_EXEC;Shared PID namespace deve ser bloqueado por politica operacional.;Usar rootless Docker e validar politica de execucao de containers.;Baseline Ubuntu 24.04 VDI - Docker rootless.;https://docs.docker.com/engine/security/rootless/;sh -c '! systemctl is-enabled docker.service docker.socket 2>/dev/null | grep -q enabled && echo PASS || echo FAIL';(?i)^\\s*PASS\\s*$;Ubuntu 24.04 VDI Desktop desenvolvimento corporativo
303;Docker device whitelist;Alta;Docker e containers;CMD_EXEC;CMD_EXEC;Acesso a devices deve ser restrito no ambiente Docker.;Usar rootless Docker e registrar whitelist aprovada em /etc/vdi-hardening/docker-device-whitelist.conf quando aplicavel.;Baseline Ubuntu 24.04 VDI - Docker rootless.;https://docs.docker.com/engine/security/rootless/;"sh -c 'test -f /etc/vdi-hardening/docker-device-whitelist.conf || ! systemctl is-enabled docker.service docker.socket 2>/dev/null | grep -q enabled; [ $? -eq 0 ] && echo PASS || echo FAIL'";(?i)^\\s*PASS\\s*$;Ubuntu 24.04 VDI Desktop desenvolvimento corporativo
304;AppArmor profile para Docker;Alta;Docker e containers;CMD_EXEC;CMD_EXEC;Docker deve operar com AppArmor/enforcement de MAC.;Garantir AppArmor ativo e perfis Docker disponiveis.;Baseline Ubuntu 24.04 VDI - Docker rootless.;https://docs.docker.com/engine/security/rootless/;sh -c 'aa-enabled >/dev/null 2>&1 && (test -f /etc/apparmor.d/docker || apparmor_status 2>/dev/null | grep -qi docker || ! systemctl is-enabled docker.service docker.socket 2>/dev/null | grep -q enabled) && echo PASS || echo FAIL';(?i)^\\s*PASS\\s*$;Ubuntu 24.04 VDI Desktop desenvolvimento corporativo
305;Audit docker exec commands;Alta;Docker e containers;CMD_EXEC;CMD_EXEC;Uso de docker exec deve ser auditado.;Adicionar regra auditd para binario docker/rootless docker.;Baseline Ubuntu 24.04 VDI - Docker rootless.;https://docs.docker.com/engine/security/rootless/;"sh -c 'grep -RE \""(/usr/bin/docker|docker_exec)\"" /etc/audit/rules.d 2>/dev/null | grep -q . && echo PASS || echo FAIL'";(?i)^\\s*PASS\\s*$;Ubuntu 24.04 VDI Desktop desenvolvimento corporativo
306;Audit /var/lib/docker filesystem;Alta;Docker e containers;CMD_EXEC;CMD_EXEC;Tamper em imagens/layers Docker deve ser detectavel.;Adicionar regra auditd para /var/lib/docker quando Docker rootful existir.;Baseline Ubuntu 24.04 VDI - Docker rootless.;https://docs.docker.com/engine/security/rootless/;"sh -c 'if [ -d /var/lib/docker ]; then grep -RE -- \""-w[[:space:]]+/var/lib/docker|docker_fs\"" /etc/audit/rules.d 2>/dev/null | grep -q . && echo PASS || echo FAIL; else echo PASS; fi'";(?i)^\\s*PASS\\s*$;Ubuntu 24.04 VDI Desktop desenvolvimento corporativo
401;Audit ~/.local/lib site-packages Python;Alta;Desenvolvimento;CMD_EXEC;CMD_EXEC;Dependencias Python instaladas pelo usuario devem ter trilha de auditoria.;Adicionar regra auditd para /home/*/.local/lib ou equivalente por home.;Baseline Ubuntu 24.04 VDI - Ferramentas de desenvolvimento.;https://man7.org/linux/man-pages/man8/auditd.8.html;"sh -c 'grep -RE \""\\.local/lib|python_user_lib\"" /etc/audit/rules.d 2>/dev/null | grep -q . && echo PASS || echo FAIL'";(?i)^\\s*PASS\\s*$;Ubuntu 24.04 VDI Desktop desenvolvimento corporativo
402;Audit ~/.m2 maven repository;Media;Desenvolvimento;CMD_EXEC;CMD_EXEC;Repositorio Maven local deve ter trilha de auditoria.;Adicionar regra auditd para /home/*/.m2.;Baseline Ubuntu 24.04 VDI - Ferramentas de desenvolvimento.;https://man7.org/linux/man-pages/man8/auditd.8.html;"sh -c 'grep -RE \""\\.m2|maven_repo\"" /etc/audit/rules.d 2>/dev/null | grep -q . && echo PASS || echo FAIL'";(?i)^\\s*PASS\\s*$;Ubuntu 24.04 VDI Desktop desenvolvimento corporativo
403;Audit npm node_modules install;Media;Desenvolvimento;CMD_EXEC;CMD_EXEC;Instalacoes npm devem ser rastreaveis.;Adicionar regra auditd para caches npm/node_modules por home ou registrar excecao operacional.;Baseline Ubuntu 24.04 VDI - Ferramentas de desenvolvimento.;https://man7.org/linux/man-pages/man8/auditd.8.html;"sh -c 'grep -RE \""\\.npm|node_modules|npm_install\"" /etc/audit/rules.d 2>/dev/null | grep -q . && echo PASS || echo FAIL'";(?i)^\\s*PASS\\s*$;Ubuntu 24.04 VDI Desktop desenvolvimento corporativo
404;Sem pip system-wide global;Media;Desenvolvimento;CMD_EXEC;CMD_EXEC;pip global deve exigir virtualenv para evitar poluicao do sistema.;Configurar /etc/pip.conf com require-virtualenv=true.;Baseline Ubuntu 24.04 VDI - Ferramentas de desenvolvimento.;;grep -Eiq '^[[:space:]]*require-virtualenv[[:space:]]*=[[:space:]]*true' /etc/pip.conf /etc/xdg/pip/pip.conf 2>/dev/null && echo PASS || echo FAIL;(?i)^\\s*PASS\\s*$;Ubuntu 24.04 VDI Desktop desenvolvimento corporativo
501;/tmp com noexec,nodev,nosuid;Alta;Sistema de arquivos;CMD_EXEC;CMD_EXEC;/tmp deve restringir execucao, devices e suid quando compativel.;Configurar /tmp dedicado ou tmp.mount/fstab com noexec,nodev,nosuid.;Baseline Ubuntu 24.04 VDI - Filesystem e dados locais.;;"sh -c 'findmnt -n /tmp -o OPTIONS 2>/dev/null | grep -Eq \""(^|,)noexec(,|$)\"" && findmnt -n /tmp -o OPTIONS 2>/dev/null | grep -Eq \""(^|,)nodev(,|$)\"" && findmnt -n /tmp -o OPTIONS 2>/dev/null | grep -Eq \""(^|,)nosuid(,|$)\"" && echo PASS || echo FAIL'";(?i)^\\s*PASS\\s*$;Ubuntu 24.04 VDI Desktop desenvolvimento corporativo
502;/var/tmp com noexec,nodev,nosuid;Alta;Sistema de arquivos;CMD_EXEC;CMD_EXEC;/var/tmp deve restringir execucao, devices e suid quando compativel.;Configurar /var/tmp em fstab com noexec,nodev,nosuid.;Baseline Ubuntu 24.04 VDI - Filesystem e dados locais.;;"sh -c 'findmnt -n /var/tmp -o OPTIONS 2>/dev/null | grep -Eq \""(^|,)noexec(,|$)\"" && findmnt -n /var/tmp -o OPTIONS 2>/dev/null | grep -Eq \""(^|,)nodev(,|$)\"" && findmnt -n /var/tmp -o OPTIONS 2>/dev/null | grep -Eq \""(^|,)nosuid(,|$)\"" && echo PASS || echo FAIL'";(?i)^\\s*PASS\\s*$;Ubuntu 24.04 VDI Desktop desenvolvimento corporativo
503;/dev/shm com noexec,nodev,nosuid;Alta;Sistema de arquivos;CMD_EXEC;CMD_EXEC;/dev/shm deve restringir execucao, devices e suid.;Configurar tmpfs /dev/shm com noexec,nodev,nosuid.;Baseline Ubuntu 24.04 VDI - Filesystem e dados locais.;;"sh -c 'findmnt -n /dev/shm -o OPTIONS 2>/dev/null | grep -Eq \""(^|,)noexec(,|$)\"" && findmnt -n /dev/shm -o OPTIONS 2>/dev/null | grep -Eq \""(^|,)nodev(,|$)\"" && findmnt -n /dev/shm -o OPTIONS 2>/dev/null | grep -Eq \""(^|,)nosuid(,|$)\"" && echo PASS || echo FAIL'";(?i)^\\s*PASS\\s*$;Ubuntu 24.04 VDI Desktop desenvolvimento corporativo
504;Sticky bit em dirs publicos;Media;Sistema de arquivos;CMD_EXEC;CMD_EXEC;Diretorios publicos world-writable devem ter sticky bit.;"Aplicar chmod 1777 em /tmp e /var/tmp; corrigir demais diretorios world-writable.";Baseline Ubuntu 24.04 VDI - Filesystem e dados locais.;;sh -c 'find /tmp /var/tmp -maxdepth 0 -type d ! -perm -1000 -print -quit 2>/dev/null | grep -q . && echo FAIL || echo PASS';(?i)^\\s*PASS\\s*$;Ubuntu 24.04 VDI Desktop desenvolvimento corporativo
505;Home encryption com LUKS;Media;Sistema de arquivos;CMD_EXEC;EVIDENCE;Home deve estar em volume criptografado ou ter evidencia corporativa equivalente.;Usar LUKS para volume de home ou registrar evidencia aprovada em /etc/vdi-hardening/evidence/home-encryption.;Baseline Ubuntu 24.04 VDI - Filesystem e dados locais.;;"sh -c 'findmnt -n /home -o SOURCE 2>/dev/null | xargs -r lsblk -no TYPE 2>/dev/null | grep -q crypt || test -f /etc/vdi-hardening/evidence/home-encryption; [ $? -eq 0 ] && echo PASS || echo FAIL'";(?i)^\\s*PASS\\s*$;Ubuntu 24.04 VDI Desktop desenvolvimento corporativo
506;~/.local permissoes 700;Media;Sistema de arquivos;CMD_EXEC;CMD_EXEC;~/.local deve ficar isolado por usuario.;Executar vdi-fix-user-home-perms e corrigir permissoes.;Baseline Ubuntu 24.04 VDI - Filesystem e dados locais.;;sh -c 'find /home -mindepth 2 -maxdepth 2 -type d -name .local ! -perm 0700 -print -quit 2>/dev/null | grep -q . && echo FAIL || echo PASS';(?i)^\\s*PASS\\s*$;Ubuntu 24.04 VDI Desktop desenvolvimento corporativo
507;~/.cache permissoes 700;Media;Sistema de arquivos;CMD_EXEC;CMD_EXEC;~/.cache deve ficar isolado por usuario.;Executar vdi-fix-user-home-perms e corrigir permissoes.;Baseline Ubuntu 24.04 VDI - Filesystem e dados locais.;;sh -c 'find /home -mindepth 2 -maxdepth 2 -type d -name .cache ! -perm 0700 -print -quit 2>/dev/null | grep -q . && echo FAIL || echo PASS';(?i)^\\s*PASS\\s*$;Ubuntu 24.04 VDI Desktop desenvolvimento corporativo
508;Disable swap ou encrypt swap;Media;Sistema de arquivos;CMD_EXEC;CMD_EXEC;Swap nao deve expor credenciais em disco.;Desabilitar swap ou usar swap criptografada.;Baseline Ubuntu 24.04 VDI - Filesystem e dados locais.;;"sh -c 'if swapon --noheadings --show=NAME 2>/dev/null | grep -q .; then swapon --noheadings --show=NAME | while read s; do lsblk -no TYPE \""$s\"" 2>/dev/null; done | grep -q crypt && echo PASS || echo FAIL; else echo PASS; fi'";(?i)^\\s*PASS\\s*$;Ubuntu 24.04 VDI Desktop desenvolvimento corporativo
509;Disable core dumps;Media;Sistema de arquivos;CMD_EXEC;CMD_EXEC;Core dumps devem ser bloqueados.;Configurar fs.suid_dumpable=0 e limits core 0.;Baseline Ubuntu 24.04 VDI - Filesystem e dados locais.;https://man7.org/linux/man-pages/man8/sysctl.8.html;"sh -c 'sysctl -n fs.suid_dumpable 2>/dev/null | grep -qx 0 && grep -REq \""^[^#].*[[:space:]]+(hard|soft)[[:space:]]+core[[:space:]]+0\"" /etc/security/limits.conf /etc/security/limits.d 2>/dev/null && echo PASS || echo FAIL'";(?i)^\\s*PASS\\s*$;Ubuntu 24.04 VDI Desktop desenvolvimento corporativo
510;Disable ptrace para usuarios comuns;Media;Sistema de arquivos;CMD_EXEC;CMD_EXEC;ptrace deve ser restrito.;Configurar kernel.yama.ptrace_scope >= 1.;Baseline Ubuntu 24.04 VDI - Filesystem e dados locais.;https://man7.org/linux/man-pages/man8/sysctl.8.html;"sh -c 'v=$(sysctl -n kernel.yama.ptrace_scope 2>/dev/null); [ \""${v:-0}\"" -ge 1 ] && echo PASS || echo FAIL'";(?i)^\\s*PASS\\s*$;Ubuntu 24.04 VDI Desktop desenvolvimento corporativo
601;IP forwarding desabilitado;Alta;Kernel e rede;CMD_EXEC;CMD_EXEC;Host VDI nao deve rotear trafego.;Configurar net.ipv4.ip_forward=0.;Baseline Ubuntu 24.04 VDI - Kernel e rede host.;https://man7.org/linux/man-pages/man8/sysctl.8.html;sysctl -n net.ipv4.ip_forward;^0$;Ubuntu 24.04 VDI Desktop desenvolvimento corporativo
602;Redirects desabilitados;Alta;Kernel e rede;CMD_EXEC;CMD_EXEC;ICMP redirects devem ser desabilitados.;Configurar accept_redirects=0 em all/default.;Baseline Ubuntu 24.04 VDI - Kernel e rede host.;https://man7.org/linux/man-pages/man8/sysctl.8.html;sh -c 'sysctl -n net.ipv4.conf.all.accept_redirects net.ipv4.conf.default.accept_redirects 2>/dev/null | grep -qx 1 && echo FAIL || echo PASS';(?i)^\\s*PASS\\s*$;Ubuntu 24.04 VDI Desktop desenvolvimento corporativo
603;Source route desabilitado;Media;Kernel e rede;CMD_EXEC;CMD_EXEC;Source route deve ser bloqueado.;Configurar accept_source_route=0 em all/default.;Baseline Ubuntu 24.04 VDI - Kernel e rede host.;https://man7.org/linux/man-pages/man8/sysctl.8.html;sh -c 'sysctl -n net.ipv4.conf.all.accept_source_route net.ipv4.conf.default.accept_source_route 2>/dev/null | grep -qx 1 && echo FAIL || echo PASS';(?i)^\\s*PASS\\s*$;Ubuntu 24.04 VDI Desktop desenvolvimento corporativo
604;rp_filter ativo;Media;Kernel e rede;CMD_EXEC;CMD_EXEC;rp_filter reduz spoofing.;Configurar net.ipv4.conf.all.rp_filter=1.;Baseline Ubuntu 24.04 VDI - Kernel e rede host.;https://man7.org/linux/man-pages/man8/sysctl.8.html;sysctl -n net.ipv4.conf.all.rp_filter;^[12]$;Ubuntu 24.04 VDI Desktop desenvolvimento corporativo
609;TCP syncookies ativo;Media;Kernel e rede;CMD_EXEC;CMD_EXEC;Syncookies protegem contra SYN flood.;Configurar net.ipv4.tcp_syncookies=1.;Baseline Ubuntu 24.04 VDI - Kernel e rede host.;https://man7.org/linux/man-pages/man8/sysctl.8.html;sysctl -n net.ipv4.tcp_syncookies;^1$;Ubuntu 24.04 VDI Desktop desenvolvimento corporativo
702;at/batch desabilitado para usuarios comuns;Alta;Privilegios e recursos;CMD_EXEC;CMD_EXEC;at/batch deve ser restrito a root/contas aprovadas.;Criar /etc/at.allow somente com root ou remover pacote at se nao usado.;Baseline Ubuntu 24.04 VDI - Privilégios e limites.;;"sh -c 'if command -v at >/dev/null 2>&1; then test -f /etc/at.allow && grep -qx root /etc/at.allow && [ \""$(grep -Ev \""^(root|#|$)\"" /etc/at.allow | wc -l)\"" -eq 0 ] && echo PASS || echo FAIL; else echo PASS; fi'";(?i)^\\s*PASS\\s*$;Ubuntu 24.04 VDI Desktop desenvolvimento corporativo
703;Audit su attempts;Alta;Privilegios e recursos;CMD_EXEC;CMD_EXEC;Tentativas de su devem ser auditadas.;Adicionar regra auditd para /bin/su ou /usr/bin/su.;Baseline Ubuntu 24.04 VDI - Privilégios e limites.;https://man7.org/linux/man-pages/man8/pam.8.html;"sh -c 'grep -RE \""(/bin/su|/usr/bin/su|su_exec)\"" /etc/audit/rules.d 2>/dev/null | grep -q . && echo PASS || echo FAIL'";(?i)^\\s*PASS\\s*$;Ubuntu 24.04 VDI Desktop desenvolvimento corporativo
704;sudo requer password;Alta;Privilegios e recursos;CMD_EXEC;CMD_EXEC;Sudo nao deve permitir NOPASSWD para usuarios comuns.;Remover NOPASSWD de sudoers exceto excecoes formalmente aprovadas.;Baseline Ubuntu 24.04 VDI - Privilégios e limites.;https://man7.org/linux/man-pages/man8/sudo.8.html;"sh -c 'grep -REi \""^[^#].*NOPASSWD\"" /etc/sudoers /etc/sudoers.d 2>/dev/null | grep -q . && echo FAIL || echo PASS'";(?i)^\\s*PASS\\s*$;Ubuntu 24.04 VDI Desktop desenvolvimento corporativo
705;Resource limits configurados;Media;Privilegios e recursos;CMD_EXEC;CMD_EXEC;Limites de recurso reduzem DoS local.;Configurar /etc/security/limits.d/90-vdi-dev.conf com nproc/nofile/core.;Baseline Ubuntu 24.04 VDI - Privilégios e limites.;;"sh -c 'grep -REq \""^[^#].*[[:space:]]+hard[[:space:]]+nproc[[:space:]]+[1-9]\"" /etc/security/limits.conf /etc/security/limits.d 2>/dev/null && grep -REq \""^[^#].*[[:space:]]+hard[[:space:]]+nofile[[:space:]]+[1-9]\"" /etc/security/limits.conf /etc/security/limits.d 2>/dev/null && echo PASS || echo FAIL'";(?i)^\\s*PASS\\s*$;Ubuntu 24.04 VDI Desktop desenvolvimento corporativo
